,artist,style,museum_name,museum_location,museum_link
173,Alfred Sisley,impressionism,Fine Arts Museums of San Francisco,,http://www.artcyclopedia.com/scripts/r.pl?RA87+54
174,Alfred Sisley,impressionism,Fitzwilliam Museum at the University of Cambridge,UK,http://www.artcyclopedia.com/scripts/r.pl?RA12+400
175,Alfred Sisley,impressionism,Hermitage Museum,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+807
176,Alfred Sisley,impressionism,J. Paul Getty Museum,Los Angeles,http://www.artcyclopedia.com/scripts/r.pl?R011+422
177,Alfred Sisley,impressionism,Louvre Museum Database,Paris,http://cartelen.louvre.fr/cartelen/visite?srv=rs_display_res&critere=Alfred+Sisley&operator=AND&photoOnly=true&nbToDisplay=20&langue=fr
178,Alfred Sisley,impressionism,Louvre Museum Graphic Art Database,Paris ,http://arts-graphiques.louvre.fr/fo/visite?srv=mtr&quicksearchinput=SISLEY+ALFRED&radiobutton=oeuvre
179,Alfred Sisley,impressionism,Metropolitan Museum of Art,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Sisley%2c+Alfred%24Alfred+Sisley&pg=1
180,Alfred Sisley,impressionism,Metropolitan Museum of Art ,,http://www.metmuseum.org/toah/hi/hi_sisleyalfred.htm
181,Alfred Sisley,impressionism,Musée d'Orsay,Paris,http://www.artcyclopedia.com/r/sisley_alfred.html
182,Alfred Sisley,impressionism,Museum of Fine Arts,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+1046
183,Alfred Sisley,impressionism,National Galleries of Scotland,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+575
184,Alfred Sisley,impressionism,National Gallery,"London, UK",http://www.nationalgallery.org.uk/artists/alfred-sisley
185,Alfred Sisley,impressionism,National Gallery of Art,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1877.html?artobj_artistId=1877&pageNumber=1
186,Alfred Sisley,impressionism,National Gallery of Australia,Canberra,http://www.nga.gov.au/Exhibition/FrenchPainting/Detail.cfm?IRN=126621&BioArtistIRN=11826&MnuID=1
187,Alfred Sisley,impressionism,National Gallery of Australia,Canberra,http://www.nga.gov.au/International/Catalogue/Detail.cfm?IRN=8610&SiteID=2
188,Alfred Sisley,impressionism,National Gallery of Canada,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+284
189,Alfred Sisley,impressionism,Neue Pinakothek,"Munich, Germany",http://www.artcyclopedia.com/scripts/r.pl?RC14+46
190,Alfred Sisley,impressionism,Norton Simon Museum,"Pasadena, California",http://www.artcyclopedia.com/scripts/r.pl?R409+321
191,Alfred Sisley,impressionism,Réunion des Musées Nationaux,France ,http://www.artcyclopedia.com/scripts/r.pl?RP02+163
192,Alfred Sisley,impressionism,Tate Gallery,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+474
193,Alfred Sisley,impressionism,Aberdeen Art Gallery and Museums,Scotland,http://www.artcyclopedia.com/scripts/r.pl?R787+54
194,Alfred Sisley,impressionism,Amgueddfa Cymru - National Museum Wales,Cardiff,http://www.artcyclopedia.com/scripts/r.pl?R703+179
195,Alfred Sisley,impressionism,Art Collection of the Biblioteca Luis Ángel Arango,Colombia,http://www.artcyclopedia.com/scripts/r.pl?RH21+58
196,Alfred Sisley,impressionism,Art Gallery of Ontario,Toronto ,http://www.artcyclopedia.com/scripts/r.pl?RH61+4
197,Alfred Sisley,impressionism,Arthur Ross Gallery at the University of Pennsylvania,Philadelphia,http://www.artcyclopedia.com/scripts/r.pl?R732+16
198,Alfred Sisley,impressionism,Ashmolean Museum at the University of Oxford,UK,http://www.artcyclopedia.com/scripts/r.pl?RF15+429
199,Alfred Sisley,impressionism,Beaverbrook Art Gallery,New Brunswick,http://www.artcyclopedia.com/scripts/r.pl?RH63+135
200,Alfred Sisley,impressionism,Brooklyn Museum,New York City,http://www.artcyclopedia.com/scripts/r.pl?R132+383
201,Alfred Sisley,impressionism,Carnegie Museum of Art,"Pittsburgh, Pennsylvania",http://www.artcyclopedia.com/scripts/r.pl?R083+242
202,Alfred Sisley,impressionism,Clark Art Institute,"Williamstown, Massachusetts",http://www.artcyclopedia.com/scripts/r.pl?R698+29
203,Alfred Sisley,impressionism,Cleveland Museum of Art,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R075+33
204,Alfred Sisley,impressionism,E.G. Bührle Collection,Zurich,http://www.artcyclopedia.com/scripts/r.pl?R157+48
205,Alfred Sisley,impressionism,Harvard University Art Museums,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+1131
206,Alfred Sisley,impressionism,Hunterian Museum and Art Gallery,"University of Glasgow, Scotland",http://www.artcyclopedia.com/scripts/r.pl?RO79+192
207,Alfred Sisley,impressionism,Indianapolis Museum of Art,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+1299
208,Alfred Sisley,impressionism,Kimbell Art Museum,"Fort Worth, Texas",http://www.artcyclopedia.com/scripts/r.pl?RB76+99
209,Alfred Sisley,impressionism,Los Angeles County Museum of Art,,http://www.artcyclopedia.com/scripts/r.pl?RE85+491
210,Alfred Sisley,impressionism,Manchester City Art Gallery,UK,http://www.artcyclopedia.com/scripts/r.pl?RA27+283
211,Alfred Sisley,impressionism,Memphis Brooks Museum of Art,"Memphis, Tennessee",http://www.artcyclopedia.com/scripts/r.pl?RP27+23
212,Alfred Sisley,impressionism,Minneapolis Institute of Arts,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R603+86
